page,clicks,impressions,ctr,position
https://www.williamsburgmedspa.com/,20,3171,0.00630715862503942,11.499526963103122
https://www.williamsburgmedspa.com/procedures/blohmdahl-ear-piercing,12,197,0.06091370558375635,8.857868020304569
https://williamsburgmedspa.com/,6,187,0.03208556149732621,23.86631016042781
https://www.williamsburgmedspa.com/procedures/joint-restoration,1,16,0.0625,33.375
https://www.williamsburgmedspa.com/procedures/prp-breast-lift,1,146,0.00684931506849315,24.60958904109589
https://www.williamsburgmedspa.com/procedures/prp-facial,1,98,0.01020408163265306,62.55102040816327
https://www.williamsburgmedspa.com/procedures/prp-hair-restoration,1,136,0.007352941176470588,50.036764705882355
https://www.williamsburgmedspa.com/affiliates,0,25,0,5.84
https://www.williamsburgmedspa.com/blog,0,26,0,5.769230769230769
https://www.williamsburgmedspa.com/blog/beginners-guide-to-platelet-rich-plasma-therapy,0,4,0,33.25
https://www.williamsburgmedspa.com/blog/naturally-heal-joint-pain-prp-therapy,0,3,0,6.333333333333333
https://www.williamsburgmedspa.com/blog/o-shot-for-vaginal-dryness-what-to-know,0,11,0,23.545454545454547
https://www.williamsburgmedspa.com/blog/revitalize-sexual-health-female-intimacy-prp-protocols-vaginal-dryness,0,1,0,4
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,0,107,0,33.4392523364486
https://www.williamsburgmedspa.com/consult,0,72,0,38.69444444444444
https://www.williamsburgmedspa.com/events,0,140,0,51.55714285714286
https://www.williamsburgmedspa.com/locations,0,31,0,6
https://www.williamsburgmedspa.com/locations/james-city-county-va,0,11,0,34.90909090909091
https://www.williamsburgmedspa.com/locations/kingsmill-va,0,64,0,39.125
https://www.williamsburgmedspa.com/procedures,0,31,0,6
https://www.williamsburgmedspa.com/procedures/feminine-intimacy-prp-protocols,0,5,0,49
https://www.williamsburgmedspa.com/procedures/filler,0,144,0,38.96527777777778
https://www.williamsburgmedspa.com/procedures/hyperhidrosis-treatment,0,67,0,62.208955223880594
https://www.williamsburgmedspa.com/procedures/male-intimacy-prp-protocols,0,1,0,6
https://www.williamsburgmedspa.com/procedures/prp-face-lift,0,26,0,25.923076923076923
https://www.williamsburgmedspa.com/procedures/xeomin,0,64,0,56.046875
https://www.williamsburgmedspa.com/products,0,31,0,6
https://www.williamsburgmedspa.com/products/co2-lift,0,5,0,25.8
https://www.williamsburgmedspa.com/products/co2-v-lift-for-women,0,13,0,53.30769230769231
https://www.williamsburgmedspa.com/products/definage-clinical-power-trio-pro,0,2,0,15.5
